Time (s),Channel 1 (VOLT),Channel 3 (VOLT)
1.020832475000000433e-03,-6.030151679999999903e-01,-2.040828624000000022e-02
1.035415807500000493e-03,-6.055277311999999190e-01,-2.086054747200000517e-02
1.049999140000000553e-03,-6.155779839999999670e-01,-2.141331120000000351e-02
1.064582472500000612e-03,-6.306533631999999834e-01,-2.196607492800000186e-02
1.079165805000000672e-03,-6.407036159999999203e-01,-2.221733116799999921e-02
1.093749137500000732e-03,-6.432161791999999600e-01,-2.261934115200000053e-02
1.108332470000000791e-03,-6.482413055999999285e-01,-2.317210487999999888e-02
1.122915802500000851e-03,-6.557789951999999367e-01,-2.342336112000000317e-02
1.137499135000000910e-03,-6.683418111999999134e-01,-2.367461736000000053e-02
1.152082467499999235e-03,-6.809046272000000011e-01,-2.407662734400000185e-02
1.166665799999999295e-03,-6.859297535999999695e-01,-2.412687859200000548e-02
1.181249132499999355e-03,-6.884423168000000093e-01,-2.427763233600000251e-02
1.195832464999999414e-03,-6.984925695999999462e-01,-2.427763233600000251e-02
1.210415797499999474e-03,-7.135679487999999626e-01,-2.432788358399999920e-02
1.224999129999999534e-03,-7.211056383999999708e-01,-2.437813483200000284e-02
1.239582462499999593e-03,-7.261307647999999393e-01,-2.427763233600000251e-02
1.254165794999999653e-03,-7.286433279999999790e-01,-2.402637609600000515e-02
1.268749127499999713e-03,-7.412061439999999557e-01,-2.407662734400000185e-02
1.283332459999999772e-03,-7.537689599999999324e-01,-2.392587360000000482e-02
1.297915792499999832e-03,-7.613066495999999406e-01,-2.332285862400000284e-02
1.312499124999999892e-03,-7.663317759999999090e-01,-2.287059739200000483e-02
1.327082457499999951e-03,-7.688443391999999488e-01,-2.251883865600000020e-02
1.341665790000000011e-03,-7.763820287999999570e-01,-2.181532118400000483e-02
1.356249122500000071e-03,-7.889448447999999336e-01,-2.091079872000000187e-02
1.370832455000000130e-03,-8.015076607999999103e-01,-1.985552251200000187e-02
1.385415787500000190e-03,-8.040202239999999501e-01,-1.874999505600000171e-02
1.399999120000000249e-03,-8.090453503999999185e-01,-1.754396510400000123e-02
1.414582452500000309e-03,-8.216081663999998952e-01,-1.563441768000000190e-02
1.429165785000000369e-03,-8.341709823999999829e-01,-1.412688024000000042e-02
1.443749117500000428e-03,-8.417086719999999911e-01,-1.256909155200000225e-02
1.458332450000000488e-03,-8.442212351999999198e-01,-1.076004662399999978e-02
1.472915782500000548e-03,-8.467337983999999595e-01,-9.152006688000001444e-03
1.487499115000000607e-03,-8.567840511999998965e-01,-7.996227984000001121e-03
1.502082447500000667e-03,-8.718594303999999129e-01,-6.287685552000002454e-03
1.516665780000000727e-03,-8.819096831999999608e-01,-5.533916831999999980e-03
1.531249112500000786e-03,-8.844222464000000006e-01,-4.780148112000000976e-03
1.545832445000000846e-03,-8.869348095999999293e-01,-4.076630640000000402e-03
1.560415777500000906e-03,-8.969850623999999772e-01,-3.222359424000001069e-03
1.574999109999999231e-03,-9.120604415999999937e-01,-2.669595696000000989e-03
1.589582442499999290e-03,-9.221106943999999306e-01,-2.317836960000001570e-03
1.604165774999999350e-03,-9.246232575999999703e-01,-1.765073232000001491e-03
1.618749107499999410e-03,-9.296483839999999388e-01,-1.463565744000000501e-03
1.633332440000001204e-03,-9.371860735999999470e-01,-1.162058256000001247e-03
1.647915772499999529e-03,-9.547740159999998921e-01,-1.262560752000001577e-03
1.662499105000001323e-03,-9.648242687999999401e-01,-8.605507680000002574e-04
